embedding model,chunk size,overlap,time (seconds),memory (MB)
all-minilm,300,0,6.99,3.03
nomic-embed-text,300,0,14.45,5.75
mxbai-embed-large,300,0,26.18,17.62
all-minilm,300,50,6.95,20
nomic-embed-text,300,50,13.99,0.55
mxbai-embed-large,300,50,26.18,17.62
all-minilm,300,100,7.58,1.42
nomic-embed-text,300,100,15.56,0.98
mxbai-embed-large,300,100,27.48,2.59
all-minilm,500,0,6.32,21.38
nomic-embed-text,500,0,13.52,10.89
mxbai-embed-large,500,0,24.48,21.39
all-minilm,500,50,6.19,19.11
nomic-embed-text,500,50,13.18,6.81
mxbai-embed-large,500,50,24.57,0.72
all-minilm,500,100,6.32,19.78
nomic-embed-text,500,100,12.69,11.53
mxbai-embed-large,500,100,25.43,-8.77
all-minilm,1000,0,6.45,19.02
nomic-embed-text,1000,0,13.2,10.03
mxbai-embed-large,1000,0,24.88,20.98
all-minilm,1000,50,6.19,22.27
nomic-embed-text,1000,50,12.96,23.27
mxbai-embed-large,1000,50,24.91,4.72
all-minilm,1000,100,5.77,18.97
nomic-embed-text,1000,100,13.01,23.98
mxbai-embed-large,1000,100,25.62,1.02